Rest_Name, Rest_Ratings, Rest_Noreviews, Rest_Price
Dog Pool Club,4.5 star rating,61,no price,(650) 294-3930
Red Giant Coffee,4.5 star rating,339,$$,(650) 260-4356
Castro Valley Library,4 star rating,95,no price,(510) 667-7900
Redwood City Public Library - Downtown Library,4 star rating,97,no price,(650) 780-7018
Poppies Bistro,4.5 star rating,19,$$,(650) 532-2478
Brewja Coffee,4.5 star rating,43,no price,15857 Channel St
Coffeebar - Menlo Park Downtown,4 star rating,326,$$,(650) 666-2626
S’Bastians Coffee,4.5 star rating,149,$$,1725 Woodside Rd
Atherton Library,4 star rating,21,no price,(650) 328-2422
Verve Coffee Roasters,4 star rating,104,$$,(650) 847-1743
Kin,5 star rating,5,$,(510) 600-3613